# subscriptions having item,product title,variant title,shipping interval frequency,shipping interval unit type,shopify variant id
1413,"Seasonal (ships once every season, auto-renews every season)",,3,month,29444636377201
1280,"Annual (ships once every season, auto-renews every year)",Innisfree Green Tea Balancing Skin Care Set,3,month,29623120396401
182,"Daebak Jewelry Collection - Annual Plan (auto-renews, cancel anytime)",,3,month,31430951665777
158,"Daebak Jewelry Collection - Seasonal Plan (auto-renews, cancel anytime)",,3,month,31430952452209
139,"Deluxe - Month to Month (auto-renews, cancel anytime, ships once a month)",,1,month,31466661937265
59,"Deluxe - 3 Month Prepay (auto-renews, cancel anytime, ships once a month)",,1,month,31466666492017
30,CJ is Daebak - Seasonal Auto renew,,3,month,32193461485681
24,Etude is Daebak - Seasonal Auto renew,,3,month,32191574376561
22,Esther Bunny is Daebak - Seasonal Auto renew,,3,month,32193454080113
19,Deluxe - 6 Month Prepay Auto renew,,1,month,31466667409521
14,"Deluxe - 12 Month Prepay (auto-renews, cancel anytime, ships once a month)",,12,month,31466667835505
7,"Original - Month to Month (auto-renews, cancel anytime, ships once a month)",,1,month,31466653778033
6,istyle is Daebak - Seasonal Auto renew,,3,month,32193438842993
4,Wiggle Wiggle is Daebak - Seasonal Auto renew,,3,month,32193463779441
1,"Original - 6 Month Prepay (auto-renews, cancel anytime, ships once a month)",,1,month,31466658332785
1,"Original - 3 Month Prepay (auto-renews, cancel anytime, ships once a month)",,3,month,31466656432241
1,"Deluxe - 3 Month Prepay (auto-renews, cancel anytime, ships once a month)",,3,month,31466666492017
1,Deluxe - 6 Month Prepay Auto renew,,6,month,31466667409521
1,"Original - 3 Month Prepay (auto-renews, cancel anytime, ships once a month)",,1,month,31466656432241
